,ticker,name,sector,asset_class,market_value,weight,notional_value,shares,price,location,exchange,currency,fx_rate,market_currency,accrual_date,etfname,date
6708,A17U,CAPITALAND ASCENDAS REIT,Real Estate,Equity,"22,455,398.58",0.04,"22,455,398.58","11,790,400.00",1.90,Singapore,Singapore Exchange,USD,1.34,SGD,-,EFA,20240612
6709,BKG,BERKELEY GROUP HOLDINGS (THE) PLC,Consumer Discretionary,Equity,"22,250,006.97",0.04,"22,250,006.97","332,591.00",66.90,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6710,8473,SBI HOLDINGS INC,Financials,Equity,"22,248,377.93",0.04,"22,248,377.93","866,980.00",25.66,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6711,PST,POSTE ITALIANE,Financials,Equity,"22,226,589.44",0.04,"22,226,589.44","1,629,428.00",13.64,Italy,Borsa Italiana,USD,0.92,EUR,-,EFA,20240612
6712,5019,IDEMITSU KOSAN LTD,Energy,Equity,"22,170,238.97",0.04,"22,170,238.97","3,163,015.00",7.01,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6713,SRT3,SARTORIUS PREF AG,Health Care,Equity,"22,018,740.06",0.04,"22,018,740.06","82,817.00",265.87,Germany,Xetra,USD,0.92,EUR,-,EFA,20240612
6714,LDO,LEONARDO FINMECCANICA SPA,Industrials,Equity,"22,001,033.49",0.04,"22,001,033.49","887,232.00",24.80,Italy,Borsa Italiana,USD,0.92,EUR,-,EFA,20240612
6715,FORTUM,FORTUM,Utilities,Equity,"21,987,956.61",0.04,"21,987,956.61","1,431,502.00",15.36,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.92,EUR,-,EFA,20240612
6716,MPL,MEDIBANK PRIVATE LTD,Financials,Equity,"21,818,667.33",0.04,"21,818,667.33","8,787,512.00",2.48,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6717,TWODF,TAYLOR WIMPEY PLC,Consumer Discretionary,Equity,"21,744,240.55",0.04,"21,744,240.55","11,111,619.00",1.96,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6718,EN,BOUYGUES SA,Industrials,Equity,"21,727,408.39",0.04,"21,727,408.39","626,521.00",34.68,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240612
6719,7912,DAI NIPPON PRINTING LTD,Industrials,Equity,"21,622,598.93",0.04,"21,622,598.93","673,200.00",32.12,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
